timestamp,Laser/Radar,NIS,px,py,vx,vy,yaw,yawd,px_act,py_act,vx_act,vy_act,yaw_act,yawd_act
1477010451150000,R,5.5611,10.5453,20.9531,-4.79081,-0.594861,3.26513,0.566273,10.5666,21.1131,-4.8784,-0.31604,3.20629,0.48526
1477010451200000,L,3.44059,10.2759,20.9764,-4.8261,-0.63486,3.27239,0.542377,10.3229,21.0943,-4.87349,-0.434674,3.23055,0.481969
1477010451250000,R,1.01433,10.037,20.9578,-4.81093,-0.728207,3.29182,0.532166,10.0795,21.0697,-4.86585,-0.552463,3.25465,0.478601
1477010451300000,L,1.62409,9.8306,20.9223,-4.75514,-0.845839,3.31763,0.533098,9.83658,21.0391,-4.85554,-0.669327,3.27858,0.475158
1477010451350000,R,2.47268,9.59279,20.9148,-4.7436,-0.837619,3.31637,0.484159,9.59422,21.0028,-4.84262,-0.785189,3.30234,0.47164
1477010451400000,L,1.22221,9.38925,20.8644,-4.68353,-0.961106,3.34399,0.489282,9.35258,20.9607,-4.82714,-0.899977,3.32592,0.468047
1477010451450000,R,1.5292,9.16271,20.825,-4.65567,-1.05547,3.36453,0.485637,9.11177,20.9128,-4.80919,-1.01362,3.34932,0.46438
1477010451500000,L,1.93544,8.88689,20.7879,-4.68509,-1.13651,3.37957,0.474184,8.87192,20.8594,-4.78881,-1.12605,3.37254,0.46064
1477010451550000,R,4.4765,8.66665,20.7105,-4.63403,-1.28474,3.41204,0.485576,8.63315,20.8003,-4.76608,-1.2372,3.39557,0.456828
1477010451600000,L,2.69518,8.40267,20.6235,-4.6297,-1.43169,3.4415,0.489543,8.39557,20.7358,-4.74108,-1.34701,3.41841,0.452943
1477010451650000,R,0.0883957,8.17409,20.5437,-4.58761,-1.56414,3.47018,0.496824,8.1593,20.6657,-4.71387,-1.45542,3.44106,0.448987
1477010451700000,L,0.137905,7.93506,20.463,-4.55994,-1.6769,3.49399,0.495317,7.92445,20.5903,-4.68453,-1.56237,3.46351,0.444959
1477010451750000,R,3.48463,7.71813,20.377,-4.5016,-1.82251,3.52628,0.51334,7.69111,20.5096,-4.65313,-1.66781,3.48576,0.440862
1477010451800000,L,3.8376,7.42902,20.3164,-4.54924,-1.876,3.53272,0.490863,7.45939,20.4237,-4.61975,-1.7717,3.5078,0.436695
1477010451850000,R,0.230304,7.20075,20.2186,-4.50484,-1.98174,3.55603,0.487321,7.22939,20.3326,-4.58448,-1.87399,3.52963,0.432459
1477010451900000,L,1.05979,6.942,20.1365,-4.50874,-2.05322,3.56892,0.47411,7.00119,20.2364,-4.54738,-1.97462,3.55126,0.428154
1477010451950000,R,0.428808,6.71893,20.0437,-4.46712,-2.12553,3.58571,0.463397,6.7749,20.1352,-4.50854,-2.07357,3.57266,0.423782
1477010452000000,L,0.604461,6.47168,19.9539,-4.45891,-2.1923,3.59855,0.451821,6.55059,20.0292,-4.46805,-2.17079,3.59385,0.419343
